shape_id,distance_km,pack_used_kwh_heavy_duty,pack_used_kwh_medium_duty,kwh_per_km_heavy_duty,kwh_per_km_medium_duty,route_id,route_short_name,route_long_name,route_direction
307253,6.650718965969092,18.399469464102225,11.631798372007971,2.75755292064433,1.7489535239011673,6612,002,Macdonald/Burrard Station,EAST
307254,10.648862583436799,26.116058616835698,16.42328532170471,2.4436227104356942,1.5422572310445086,6612,002,Macdonald/Burrard Station,EAST
307255,6.405752479838995,17.45424484603307,11.113196457037404,2.7133618625009484,1.7348775951013218,6612,002,Macdonald/Burrard Station,WEST
307256,10.050674992213294,26.50525093255787,17.055095372608115,2.627123959839132,1.6969104449026018,6612,002,Macdonald/Burrard Station,WEST
307257,10.627708974150423,32.03318416106756,20.273894478681118,2.998524877339383,1.9076448675808617,6613,003,Main/Waterfront Station,NORTH
307258,10.111965488211009,29.544665996807076,18.047831781273064,2.909904497621791,1.7847995824663416,6613,003,Main/Waterfront Station,SOUTH
307259,12.477229407154324,27.156602704296994,16.932153658015487,2.176711079481833,1.357044348988787,6614,004,Powell/Downtown/UBC,EAST
307260,18.885056331731597,45.22983444267752,28.40399307748434,2.3836479583922636,1.5040459810415583,6614,004,Powell/Downtown/UBC,EAST
307261,12.442578916185806,27.156602704296994,16.750239915569598,2.176711079481833,1.3462032291215942,6614,004,Powell/Downtown/UBC,EAST
307262,13.674600605914787,30.026209643985762,18.296199073943175,2.188510035366734,1.337969539383064,6614,004,Powell/Downtown/UBC,EAST
307263,16.30052511135308,40.567345042379,24.895026700742054,2.4787410507111276,1.5272530504801365,6614,004,Powell/Downtown/UBC,EAST
307264,6.330554558088607,18.6557515546259,11.530854938211938,2.915970955112766,1.8214604790790185,6614,004,Powell/Downtown/UBC,EAST
307265,17.814950302726984,49.35162980427533,31.962868854005563,2.7582393810341124,1.7941598663406273,6614,004,Powell/Downtown/UBC,WEST
307266,12.390420931777228,34.83384673072644,23.398832139143593,2.802858141077451,1.8884614387178342,6614,004,Powell/Downtown/UBC,WEST
307267,12.361671477205736,34.83384673072644,23.406996397418943,2.802858141077451,1.8935138699147764,6614,004,Powell/Downtown/UBC,WEST
307268,12.405212967557343,34.83384673072644,23.124519101408385,2.802858141077451,1.864096905219172,6614,004,Powell/Downtown/UBC,WEST
307269,12.341292898724706,34.22417982955752,23.168358945817452,2.7762307873380734,1.8773040341836118,6614,004,Powell/Downtown/UBC,WEST
307270,12.368966067605628,34.83384673072644,23.32371404562166,2.802858141077451,1.8856640011897647,6614,004,Powell/Downtown/UBC,WEST
307271,12.271742440082159,34.22417982955752,22.776547589606555,2.7762307873380734,1.8560157777768733,6614,004,Powell/Downtown/UBC,WEST
307272,9.234934232837974,27.95623331698565,18.60379186408088,3.0145522554665587,2.01450182481308,6614,004,Powell/Downtown/UBC,WEST
307273,14.920214970260437,44.28187155033445,28.33414601180241,2.943349369310844,1.8990440867158518,6614,004,Powell/Downtown/UBC,WEST
307274,17.76523353980916,49.35936403252867,31.941705990072748,2.7579463960912314,1.7979896475042836,6614,004,Powell/Downtown/UBC,WEST
307275,2.151545637903522,8.24705800478807,5.21763875812247,3.77847102849436,2.4250653419588004,6615,005,Robson/Downtown,EAST
307276,3.518722744218958,12.92753141802571,7.739043817258709,3.6059808161767912,2.1993900570806484,6615,005,Robson/Downtown,EAST
307277,3.5106666744425485,12.92753141802571,7.495710458569291,3.6059808161767912,2.13512450872583,6615,005,Robson/Downtown,EAST
307278,3.1558781073673936,10.790276245837205,5.956412073953443,3.385244376804289,1.887402450699286,6615,005,Robson/Downtown,WEST
307279,2.056954027023086,6.241600014725938,3.4383277294121024,2.9950478677929353,1.6715627496975227,6615,005,Robson/Downtown,WEST
307280,3.6921759176465874,12.477236140706536,7.423197840617196,3.3521680425671123,2.010521168598267,6615,005,Robson/Downtown,WEST
307282,3.1507222019548613,11.32536819316395,7.147712711100294,3.566886180901236,2.2685950245519915,6616,006,Davie/Downtown,EAST
307283,1.4787806670290176,4.175619375574767,2.135170602796843,2.8180062895124176,1.4438724081283554,6616,006,Davie/Downtown,WEST
307284,3.2397879963925917,10.506635990549995,5.969332340339793,3.2067832733956574,1.8425070859532997,6616,006,Davie/Downtown,WEST
307285,8.858283424854054,25.37847362565466,16.017174448746363,2.861334951013268,1.8081578202619155,6617,007,Nanaimo Station/Dunbar,EAST
307286,18.814814869890295,51.81751951558637,33.073309927825946,2.740381449344169,1.757833396530188,6617,007,Nanaimo Station/Dunbar,EAST
307287,3.653142964064722,9.746144802375552,6.572384028523983,2.6573720357419877,1.7991039751729632,6617,007,Nanaimo Station/Dunbar,EAST
307288,20.059336259988108,54.68838344338826,34.40221799086368,2.7120577850595944,1.7150227477608513,6617,007,Nanaimo Station/Dunbar,EAST
307289,18.822932693795675,51.81751951558637,33.3342080726064,2.740381449344169,1.7709359436637557,6617,007,Nanaimo Station/Dunbar,EAST
307290,20.092581373117945,54.68838344338826,35.24211787893376,2.7120577850595944,1.7539865696940526,6617,007,Nanaimo Station/Dunbar,EAST
307291,18.897820656464305,51.50603759277789,31.71447051321031,2.7055628539127072,1.6782078256395063,6617,007,Nanaimo Station/Dunbar,WEST
307292,19.000889623382612,52.0989234927206,32.964273370894645,2.7229850343445454,1.7348805252954371,6617,007,Nanaimo Station/Dunbar,WEST
307293,9.216048471915983,24.359212238632004,14.536870355437756,2.626852358416328,1.5773430879553083,6617,007,Nanaimo Station/Dunbar,WEST
307294,10.546352269550429,30.577774991761885,19.43315095952421,2.885135027689562,1.8426419356038264,6617,007,Nanaimo Station/Dunbar,WEST
