shape_id,distance_km,pack_used_kwh_heavy_duty,pack_used_kwh_medium_duty,kwh_per_km_heavy_duty,kwh_per_km_medium_duty
51056_VTC,12.443502579956279,19.65299166859452,12.266924649122458,1.5775533614808341,0.9858096279806099
51164_VTC,13.603485708956079,19.89506399636455,12.027443036816521,1.4684920244533544,0.8841442034888203
60302_VTC,10.845317049552337,20.282011441267812,13.028348830808284,1.8760003294315835,1.2012879633930162
VTC_51056,12.45030070736841,25.89762786457558,18.54645446374982,2.07928725963017,1.4896390777753303
50077_VTC,10.052070559132348,17.78639583260822,11.632840749931166,1.7679719535188307,1.1572581670114404
VTC_50688,13.284910654121195,25.868234863050883,18.36495132746736,1.9502575904108272,1.382391783099441
VTC_61337,6.118837610178018,9.6811604561666,7.067368889322709,1.5768032958489748,1.15501821417305
VTC_50026,9.057623012727225,17.646748298719388,12.201329639646117,1.946583624291866,1.347078546159577
VTC_60302,10.60115860385642,21.122687609353445,14.419523126610725,1.9791471298493948,1.360183699295404
61701_VTC,15.0580453429748,22.584407690208902,14.55754328616358,1.5060285200805181,0.9667618176588422
50094_50407,0.5987218966721041,1.6604484130181285,1.0775167739126394,2.7675049115725474,1.7996949500291153
VTC_51151,10.94595228658223,23.738913957983744,17.482475724778133,2.175435830213495,1.597163523744618
58321_VTC,9.844861884321261,17.33004993013029,11.341302583936175,1.7586108796844926,1.1520022035045627
VTC_61702,15.155272717197496,29.75422349974119,21.17525456138053,1.9516051460799264,1.3972202913479637
50955_VTC,16.86309263086227,28.001063147894882,18.45691624826393,1.6599505140344377,1.0945154991608537
VTC_61701,15.21916131527373,29.70499205114218,21.456221309764008,1.9526564390718482,1.4098162747135647
VTC_50273,12.643536177822053,26.947990926639005,19.43029685153666,2.1227131077262316,1.5367770992437402
VTC_50081,10.581705596502417,21.357697877659646,15.064633330487668,2.005849352158156,1.4236488809012982
50410_VTC,10.713760490755984,20.16903013300361,13.154792644032424,1.8838741826316212,1.2278408365935196
50081_VTC,10.575365573001141,19.42235939125403,12.618403335895131,1.8381063681140468,1.193188381885337
60403_VTC,10.365325033181481,14.467502192309952,8.659684771084107,1.3944694522331516,0.83544748894634
VTC_54824,0.23831397077891248,0.7635671411903546,0.5222829970828123,3.214550012099925,2.191575237388589
VTC_51134,9.135621785159747,18.632528027989448,13.489809860445332,2.040456818406518,1.4766164994219324
61702_VTC,14.963197715063707,22.451698156976327,14.438085193298386,1.5044318669965475,0.9649063968969226
51188_VTC,11.076950903018421,16.931541730696615,10.79154652309121,1.5294471963147518,0.9742343915373463
VTC_54826,7.036763188472454,15.0313843834624,10.699939953643572,2.1429190828052027,1.520576956628595
VTC_51061,11.332193939050677,24.32454676434924,17.802106911678504,2.1415606588785567,1.5709320725912166
VTC_51888,8.305654082225262,16.47197913757002,11.646587083368626,1.979034433637145,1.4022480310482972
VTC_58268,3.8551406044549266,10.293020382363828,8.169761092202284,2.6742864013328487,2.119186284090771
50445_VTC,15.244299042338476,30.241666920233055,19.51219380892964,1.9713060885549107,1.2799666127473495
50806_VTC,3.427599645079237,2.377626413622499,,0.6936709825594392,
50688_VTC,13.20924085833992,21.696545124321897,13.720047428419521,1.6423838981592331,1.0386703956387542
VTC_59042,1.7482367237610865,5.543007433136221,4.156389366977596,3.158547117544116,2.377475149953209
50853_VTC,3.7039251390639976,2.790849489266846,0.8878155254171092,0.7585067436885141,0.23969586103499518
VTC_50407,10.344420743354236,20.768045693136852,14.161694087650675,1.9979158341620797,1.3690176027254926
VTC_50640,7.380774958802871,15.628509353636932,11.236031731657679,2.1092412568361176,1.522337667030037
50030_VTC,10.840797879101762,19.484588157058184,12.272094300788513,1.7980189084884382,1.1320286973015075
VTC_60993,10.025614441175174,19.494328033065344,13.694611935530288,1.9377394011031612,1.3659623573081516
50640_VTC,7.1750744869420835,11.54835148163784,7.135248712850718,1.618048972298975,0.9944494270876428
59042_VTC,1.5644849979389217,1.7942097583443348,0.5720311265385162,1.154041251917129,0.3656354182316349
60400_VTC,7.258939208158546,8.72312268795723,5.1067730370170645,1.2016641793197125,0.7035150578582342
VTC_50790,6.864679048181053,15.557448856949197,11.726462990309873,2.266257815703907,1.7082317917568275
VTC_60637,6.761603562358013,15.571242980629462,11.763481419282703,2.2866617306674777,1.7397472819569382
60402_VTC,9.116109068191035,12.264928440449753,7.12324704958519,1.3540511099941666,0.781391161108464
61338_VTC,1.8659750270528652,3.0104803899223316,1.930492173165614,1.6434809151484229,1.0345755678277473
VTC_50652,8.68124155874338,19.072436997534346,14.359765865031854,2.2065518493146805,1.654114307022053
VTC_50651,8.340005370910896,18.70674052267139,13.763956974540488,2.236820017553999,1.6503534904842858
PCT_61063,14.756370244016598,21.630364407476634,16.729496458745142,1.4607679897849843,1.1337135204728688
PCT_53021,3.6746749383736095,6.349512657715486,4.608049639377158,1.7289122014508864,1.2540019774964517
PCT_61891,6.846111446497663,11.38428831550555,8.167651531911087,1.6695568907036002,1.1930351405672044
PCT_53187,8.067825738428729,14.0229579232907,9.83632895209538,1.7347604204243507,1.2192044388419179
61061_57752,5.7937360777511815,9.954252621457439,7.714965556072513,1.7078651138200907,1.3316045902917708
59554_61911,4.372632405272187,3.8112897654825746,1.6283854858847224,0.866841392035627,0.3724039285628811
PCT_58440,19.941204761579872,24.580995456297327,19.61532941632309,1.2310239583903968,0.9836581917114338
PCT_61062,14.749752658953996,21.575016321041538,16.71861618320414,1.460501570118541,1.133484511216866
PCT_58436,12.433412498085806,21.985237324073164,15.90740821712284,1.76764738878475,1.2794080643244061
58086_PCT,10.987899890617213,12.812534766733938,9.938674365196244,1.1641284398751837,0.904510822280341
PCT_52373,18.376899054230975,27.184889731655034,20.406161275019862,1.4805437914628126,1.110424626853554
53104_54909,3.6234072016481895,8.890242830797382,7.666225957561642,2.4560897540912645,2.1157505990699814
STC_55128,9.235413486783974,14.804948847925917,10.58329281733942,1.5955342609635146,1.1459468309117162
54990_55836,0.9231140840209641,2.2342562817628577,1.6068746441583428,2.3960971764368764,1.7407107875106913
STC_55835,8.975999575722817,9.942924723608579,6.438101566292899,1.1050869223684596,0.7172573385259383
PCT_58085,10.966584517831409,15.620353262058499,11.776734960465044,1.4225851880951363,1.0738744539210316
PCT_58158,14.982700785166827,25.628313904180583,19.843126577590436,1.7107376654333448,1.3244025134130375
STC_61760,15.557982491183514,25.490298511874624,19.151372035958396,1.6411838997068093,1.2309675786568859
57188_STC,19.071894462761804,31.530786095565823,24.30107343443851,1.6503322231939805,1.274182461626283
58223_55713,6.216690751430934,9.65959070845494,6.635858254241006,1.5526175143160097,1.0674261467346737
61058_PCT,14.565917073777408,17.940956585053865,13.293741132892164,1.2262374791416089,0.9126607727861156
61997_PCT,2.2772986453048305,3.299957473345552,2.4018437011532585,1.4335103501080573,1.054689821251686
56395_57027,21.769062711969536,27.001226182972147,20.05123448878368,1.2374972411208904,0.9210885537005081
STC_55378,15.386620186562478,21.663958246391108,15.796484334454986,1.406709739958681,1.026637698397888
54990_STC,5.878920886156564,9.707524219646558,6.900387378025299,1.6465259165572088,1.1737506783386118
