shape_id,distance_km,pack_used_kwh_heavy_duty,pack_used_kwh_medium_duty,kwh_per_km_heavy_duty,kwh_per_km_medium_duty,depot_code,record_type,from_stop_name,to_stop_name
59042_VTC,1.5644849979389217,1.7942097583443348,0.5720311265385162,1.1468373047412128,0.3656354182316349,VTC,pullin,63 Ave Loop @ Granville St,VTC
60400_VTC,7.258939208158546,8.72312268795723,5.1067730370170645,1.2017076376880307,0.7035150578582342,VTC,pullin,Westbound E 41 Ave @ Fraser St,VTC
VTC_50790,6.864679048181053,15.557448856949197,11.726462990309871,2.2663038938537823,1.7082317917568273,VTC,pullout,VTC,Southbound Fraser St @ E 41 Ave
VTC_60637,6.761603562358013,15.571242980629462,11.763481419282703,2.3028920339717778,1.7397472819569382,VTC,pullout,VTC,Northbound Fraser St @ E 41 Ave
60402_VTC,9.116109068191037,12.264928440449753,7.12324704958519,1.3454126479515185,0.7813911611084638,VTC,pullin,Westbound E 41 Ave @ Victoria Dr,VTC
61338_VTC,1.8659750270528648,3.010480389922332,1.930492173165614,1.6133551340593812,1.0345755678277475,VTC,pullin,Marine Drive Station @ Bay 2,VTC
VTC_50652,8.68124155874338,19.072436997534343,14.359765865031854,2.196971120832986,1.654114307022053,VTC,pullout,VTC,Northbound Victoria Dr @ E 41 Ave
VTC_50651,8.340005370910896,18.70674052267139,13.763956974540488,2.2430130066724687,1.6503534904842858,VTC,pullout,VTC,Eastbound E 41 Ave @ Bruce St
PCT_61063,14.756370244016598,21.630364407476637,16.729496458745142,1.465832318503075,1.1337135204728688,PCT,pullout,PCT,Haney Place @ Bay 2
PCT_53021,3.6746749383736095,6.349512657715486,4.608049639377158,1.7279113837823556,1.2540019774964517,PCT,pullout,PCT,Coquitlam Central Station @ Bay 3
PCT_61891,6.846111446497663,11.38428831550555,8.167651531911087,1.6628838727610151,1.1930351405672044,PCT,pullout,PCT,Moody Centre Station @ Bay 6
PCT_53187,8.067825738428729,14.0229579232907,9.83632895209538,1.7381334671739923,1.2192044388419179,PCT,pullout,PCT,Westbound St. Johns St @ Barnet Hwy
61061_57752,5.7937360777511815,9.95425262145744,7.714965556072513,1.718105983405642,1.3316045902917708,PCT,interline,Haney Place @ Bay 4,Westbound Dewdney Trunk Rd @ 248 St
59554_61911,4.372632405272187,3.811289765482575,1.6283854858847224,0.8716236381743895,0.3724039285628811,PCT,interline,Burquitlam Station @ Bay 1,Moody Centre Station @ Bay 3
PCT_58440,19.941204761579872,24.580995456297327,19.61532941632309,1.2326735395474602,0.9836581917114338,PCT,pullout,PCT,Sperling Station @ Bay 3
PCT_61062,14.749752658953996,21.575016321041534,16.71861618320414,1.4627374993942144,1.133484511216866,PCT,pullout,PCT,Haney Place @ Bay 3
PCT_58436,12.433412498085806,21.985237324073164,15.90740821712284,1.7682383921114107,1.2794080643244061,PCT,pullout,PCT,Lougheed Station @ Bay 2
