dist_km,soc_pct,net_energy_kwh,phase,cum_used_kwh,cum_charged_kwh,charge_kwh,charge_duration_sec,block_id,mode,stop_code,candidate_name,event_type,start_sec,end_sec
0.0,90.0,507.6,start,0.0,0.0,0.0,0.0,2159334,heavy,,,,,
10.5,87.22953534299938,491.97457933451653,drive,15.625420665483482,0.0,0.0,0.0,2159334,heavy,,,,,
27.0,82.51426105904969,465.38043237304026,drive,42.21956762695975,0.0,0.0,0.0,2159334,heavy,,,,,
44.0,77.69392823025458,438.19375521863583,drive,69.4062447813642,0.0,0.0,0.0,2159334,heavy,,,,,
63.0,72.97865394630489,411.59960825715956,drive,96.00039174284046,0.0,0.0,0.0,2159334,heavy,,,,,
81.0,68.15832111750979,384.4129311027551,drive,123.1870688972449,0.0,0.0,0.0,2159334,heavy,,,,,
87.5,66.07548241096205,372.66572079782594,drive,134.93427920217408,0.0,0.0,0.0,2159334,heavy,,,,,
0.0,90.0,507.6,start,0.0,0.0,0.0,0.0,2159336,heavy,,,,,
9.0,87.22953534299938,491.97457933451653,drive,15.625420665483482,0.0,0.0,0.0,2159336,heavy,,,,,
32.0,82.51426105904969,465.38043237304026,drive,42.21956762695975,0.0,0.0,0.0,2159336,heavy,,,,,
48.0,79.33219577179914,447.4335841529472,drive,60.16641584705283,0.0,0.0,0.0,2159336,heavy,,,,,
61.5,76.01115829273313,428.70293277101484,drive,78.89706722898515,0.0,0.0,0.0,2159336,heavy,,,,,
76.0,72.82909300548258,410.7560845509218,drive,96.84391544907824,0.0,0.0,0.0,2159336,heavy,,,,,
89.5,69.50805552641657,392.0254331689895,drive,115.57456683101056,0.0,0.0,0.0,2159336,heavy,,,,,
106.0,64.68772269762145,364.83875601458504,drive,142.76124398541498,0.0,0.0,0.0,2159336,heavy,,,,,
112.5,62.60488399107372,353.09154570965586,drive,154.50845429034416,0.0,0.0,0.0,2159336,heavy,,,,,
0.0,90.0,507.6,start,0.0,0.0,0.0,0.0,2159342,heavy,,,,,
9.0,87.22953534299938,491.97457933451653,drive,15.625420665483482,0.0,0.0,0.0,2159342,heavy,,,,,
28.5,82.51426105904969,465.38043237304026,drive,42.21956762695975,0.0,0.0,0.0,2159342,heavy,,,,,
47.0,77.69392823025458,438.19375521863583,drive,69.4062447813642,0.0,0.0,0.0,2159342,heavy,,,,,
68.5,72.97865394630489,411.59960825715956,drive,96.00039174284046,0.0,0.0,0.0,2159342,heavy,,,,,
87.0,68.15832111750979,384.4129311027551,drive,123.1870688972449,0.0,0.0,0.0,2159342,heavy,,,,,
106.0,63.44304683356008,357.81878414127885,drive,149.78121585872117,0.0,0.0,0.0,2159342,heavy,,,,,
122.0,58.622714004764966,330.6321069868744,drive,176.9678930131256,0.0,0.0,0.0,2159342,heavy,,,,,
138.0,53.907439720815276,304.03796002539815,drive,203.56203997460187,0.0,0.0,0.0,2159342,heavy,,,,,
154.0,49.08710689202016,276.8512828709937,drive,230.7487171290063,0.0,0.0,0.0,2159342,heavy,,,,,
168.5,44.37183260807046,250.25713590951744,drive,257.3428640904826,0.0,0.0,0.0,2159342,heavy,,,,,
183.0,39.55149977927535,223.070458755113,drive,284.529541244887,0.0,0.0,0.0,2159342,heavy,,,,,
197.5,34.836225495325664,196.47631179363674,drive,311.1236882063633,0.0,0.0,0.0,2159342,heavy,,,,,
212.0,30.015892666530554,169.2896346392323,drive,338.3103653607677,0.0,0.0,0.0,2159342,heavy,,,,,
226.0,25.300618382580858,142.69548767775603,drive,364.904512322244,0.0,0.0,0.0,2159342,heavy,,,,,
238.5,20.480285553785745,115.5088105233516,drive,392.0911894766484,0.0,0.0,0.0,2159342,heavy,,,,,
243.5,18.397446847238015,103.76160021842242,drive,403.8383997815776,0.0,0.0,0.0,2159342,heavy,,,,,
0.0,90.0,507.6,start,0.0,0.0,0.0,0.0,2159346,heavy,,,,,
9.0,87.22953534299938,491.97457933451653,drive,15.625420665483482,0.0,0.0,0.0,2159346,heavy,,,,,
24.5,82.51426105904969,465.38043237304026,drive,42.21956762695975,0.0,0.0,0.0,2159346,heavy,,,,,
35.0,79.33219577179914,447.4335841529472,drive,60.16641584705283,0.0,0.0,0.0,2159346,heavy,,,,,
48.0,76.01115829273313,428.70293277101484,drive,78.89706722898515,0.0,0.0,0.0,2159346,heavy,,,,,
66.0,71.19082546393801,401.51625561661047,drive,106.08374438338959,0.0,0.0,0.0,2159346,heavy,,,,,
73.5,69.10798675739028,389.7690453116812,drive,117.83095468831877,0.0,0.0,0.0,2159346,heavy,,,,,
0.0,90.0,507.6,start,0.0,0.0,0.0,0.0,2159696,heavy,,,,,
4.5,89.28384898138012,503.5609082549839,drive,4.039091745016162,0.0,0.0,0.0,2159696,heavy,,,,,
13.0,86.0702148825998,485.4360119378628,drive,22.163988062137232,0.0,0.0,0.0,2159696,heavy,,,,,
25.5,82.39310325999399,464.69710238636605,drive,42.90289761363394,0.0,0.0,0.0,2159696,heavy,,,,,
38.0,79.06195099687646,445.90940362238325,drive,61.6905963776168,0.0,0.0,0.0,2159696,heavy,,,,,
47.5,75.82469838149083,427.65129887160833,drive,79.94870112839172,0.0,0.0,0.0,2159696,heavy,,,,,
60.0,72.61106428271052,409.5264025544872,drive,98.07359744551279,0.0,0.0,0.0,2159696,heavy,,,,,
73.5,68.93395266010471,388.7874930029905,drive,118.81250699700949,0.0,0.0,0.0,2159696,heavy,,,,,
89.0,65.60280039698718,369.99979423900766,drive,137.60020576099234,0.0,0.0,0.0,2159696,heavy,,,,,
